Wall time,Step,Value
1603011937.408989,10001,-20.090909957885742
1603011962.8241615,20001,-20.095237731933594
1603011989.9245057,30001,-20.21875
1603012014.9816396,40001,-20.255813598632812
1603012040.1444957,50001,-20.226415634155273
1603012125.3405497,60001,-20.265625
1603012194.1166716,70001,-20.302631378173828
1603012262.3466473,80001,-20.275861740112305
1603012330.558057,90001,-20.278350830078125
1603012398.613648,100001,-20.290000915527344
1603012466.4923875,110001,-20.34000015258789
1603012536.5523124,120001,-20.31999969482422
1603012604.7043784,130001,-20.239999771118164
1603012673.5194647,140001,-20.280000686645508
1603012742.4362354,150001,-20.270000457763672
1603012811.2670677,160001,-20.219999313354492
1603012880.1176207,170001,-20.170000076293945
1603012949.2413611,180001,-20.190000534057617
1603013018.217009,190001,-20.1200008392334
1603013087.2324183,200001,-20.06999969482422
1603013158.2760987,210001,-20.09000015258789
1603013227.7795796,220001,-20.15999984741211
1603013299.0253704,230001,-20.149999618530273
1603013369.1899157,240001,-20.1299991607666
1603013439.6589534,250001,-20.139999389648438
1603013510.2996001,260001,-20.190000534057617
1603013581.5998516,270001,-20.25
1603013653.4180152,280001,-20.260000228881836
1603013725.779893,290001,-20.25
1603013797.615325,300001,-20.239999771118164
1603013869.94964,310001,-20.200000762939453
1603013942.9182544,320001,-20.139999389648438
1603014017.3605936,330001,-20.15999984741211
1603014090.3398902,340001,-20.110000610351562
1603014163.3228898,350001,-20.059999465942383
1603014236.4152713,360001,-20.049999237060547
1603014309.7271733,370001,-19.989999771118164
1603014383.3987553,380001,-19.93000030517578
1603014457.570573,390001,-19.940000534057617
1603014531.789121,400001,-19.829999923706055
1603014605.2260654,410001,-19.790000915527344
1603014679.62047,420001,-19.799999237060547
1603014752.9586914,430001,-19.670000076293945
1603014827.4566638,440001,-19.610000610351562
1603014901.5036473,450001,-19.600000381469727
1603014976.2814472,460001,-19.540000915527344
1603015051.273934,470001,-19.420000076293945
1603015126.7258165,480001,-19.34000015258789
1603015201.2129524,490001,-19.239999771118164
1603015276.0426264,500001,-19.149999618530273
1603015353.2212055,510001,-19.190000534057617
1603015428.1576097,520001,-19.149999618530273
1603015502.9451096,530001,-19.0
1603015577.6841605,540001,-19.059999465942383
1603015652.092722,550001,-18.989999771118164
1603015726.8439982,560001,-18.860000610351562
1603015802.8278177,570001,-18.799999237060547
1603015879.2866156,580001,-18.6200008392334
1603015955.1050632,590001,-18.43000030517578
1603016031.0572433,600001,-18.350000381469727
1603016107.6888702,610001,-18.34000015258789
1603016184.3718438,620001,-18.25
1603016260.4684217,630001,-18.1299991607666
1603016336.2330859,640001,-18.020000457763672
1603016412.8640103,650001,-17.850000381469727
1603016488.764527,660001,-17.790000915527344
1603016565.2189276,670001,-17.6299991607666
1603016642.2194371,680001,-17.420000076293945
1603016720.2782924,690001,-17.280000686645508
1603016798.0205092,700001,-17.020000457763672
1603016875.8353953,710001,-16.920000076293945
1603016953.9335146,720001,-16.8799991607666
1603017032.0645747,730001,-16.65999984741211
1603017110.8165958,740001,-16.440000534057617
1603017189.8177786,750001,-16.270000457763672
1603017268.7846692,760001,-16.229999542236328
1603017348.5987642,770001,-16.260000228881836
1603017429.3035188,780001,-16.149999618530273
1603017508.3827312,790001,-15.9399995803833
1603017587.6483293,800001,-15.779999732971191
1603017667.6953502,810001,-15.680000305175781
1603017747.3776667,820001,-15.489999771118164
1603017826.1669567,830001,-15.390000343322754
1603017905.4939976,840001,-15.3100004196167
1603017986.108408,850001,-15.079999923706055
1603018066.107536,860001,-14.9399995803833
1603018146.386855,870001,-14.890000343322754
1603018231.5695698,880001,-14.84000015258789
1603018311.590731,890001,-14.829999923706055
1603018391.2905016,900001,-14.699999809265137
1603018472.2516737,910001,-14.65999984741211
1603018553.7555773,920001,-14.5
1603018635.6298962,930001,-14.350000381469727
1603018717.3993626,940001,-14.220000267028809
1603018799.2861905,950001,-14.229999542236328
1603018882.1545503,960001,-14.229999542236328
1603018964.5696127,970001,-14.199999809265137
1603019047.1862812,980001,-14.119999885559082
1603019130.269816,990001,-13.960000038146973
1603019213.918932,1000001,-13.739999771118164
1603019296.937578,1010001,-13.619999885559082
1603019379.942458,1020001,-13.420000076293945
1603019463.207101,1030001,-13.40999984741211
1603019547.1516216,1040001,-13.149999618530273
1603019630.3987691,1050001,-13.010000228881836
1603019714.4532378,1060001,-12.9399995803833
1603019798.698059,1070001,-12.819999694824219
1603019882.4775429,1080001,-12.850000381469727
1603019965.7185388,1090001,-12.890000343322754
1603020049.473692,1100001,-12.600000381469727
1603020133.111056,1110001,-12.460000038146973
1603020216.2610548,1120001,-11.979999542236328
1603020300.6386833,1130001,-11.869999885559082
1603020385.4534059,1140001,-11.699999809265137
1603020469.8761177,1150001,-11.619999885559082
1603020553.6092813,1160001,-11.329999923706055
1603020637.047561,1170001,-11.300000190734863
1603020720.7685704,1180001,-11.100000381469727
1603020804.9250288,1190001,-11.039999961853027
1603020890.1252146,1200001,-10.90999984741211
1603020974.479373,1210001,-10.770000457763672
1603021057.3815846,1220001,-10.600000381469727
1603021139.4390807,1230001,-10.510000228881836
1603021221.7191749,1240001,-10.380000114440918
1603021303.7972682,1250001,-10.430000305175781
1603021387.2402806,1260001,-10.34000015258789
1603021469.9606726,1270001,-10.3100004196167
1603021552.882536,1280001,-10.319999694824219
1603021636.2088866,1290001,-10.329999923706055
1603021719.369652,1300001,-10.319999694824219
1603021801.2337441,1310001,-10.350000381469727
1603021882.9690683,1320001,-10.289999961853027
1603021965.2949765,1330001,-10.149999618530273
1603022046.555143,1340001,-10.020000457763672
1603022128.0035264,1350001,-9.890000343322754
1603022209.9181046,1360001,-9.75
1603022292.4491417,1370001,-9.460000038146973
1603022374.0892816,1380001,-9.600000381469727
1603022455.540622,1390001,-9.539999961853027
1603022537.092028,1400001,-9.550000190734863
1603022619.5198555,1410001,-9.430000305175781
1603022700.8851519,1420001,-9.229999542236328
1603022782.337058,1430001,-8.899999618530273
1603022863.6469982,1440001,-8.770000457763672
1603022946.1896222,1450001,-8.5
1603023027.714101,1460001,-8.399999618530273
1603023109.1722763,1470001,-8.229999542236328
1603023190.8787901,1480001,-8.09000015258789
1603023273.5292552,1490001,-7.889999866485596
1603023355.6175783,1500001,-7.809999942779541
1603023436.9978046,1510001,-7.489999771118164
1603023518.972682,1520001,-7.289999961853027
1603023600.2598364,1530001,-7.159999847412109
1603023681.5676153,1540001,-6.789999961853027
1603023763.1444912,1550001,-6.690000057220459
1603023845.3991497,1560001,-6.440000057220459
1603023927.1245737,1570001,-6.130000114440918
1603024008.5547338,1580001,-5.849999904632568
1603024089.763916,1590001,-5.679999828338623
1603024171.6971445,1600001,-5.570000171661377
1603024253.087346,1610001,-5.329999923706055
1603024334.4000201,1620001,-5.110000133514404
1603024416.0204904,1630001,-4.789999961853027
1603024498.1976614,1640001,-4.760000228881836
1603024579.857514,1650001,-4.699999809265137
1603024661.5287414,1660001,-4.449999809265137
1603024751.8623614,1670001,-4.320000171661377
1603024835.4652338,1680001,-3.9200000762939453
1603024917.4381728,1690001,-3.569999933242798
1603024999.4888923,1700001,-3.5299999713897705
1603025082.4489462,1710001,-3.430000066757202
1603025164.6366181,1720001,-3.0199999809265137
1603025246.74197,1730001,-2.6600000858306885
1603025329.1751585,1740001,-2.5899999141693115
1603025411.716874,1750001,-2.190000057220459
1603025493.735264,1760001,-2.0999999046325684
1603025575.886606,1770001,-1.8600000143051147
1603025658.1792169,1780001,-1.7400000095367432
1603025740.7166986,1790001,-1.7400000095367432
1603025822.5312982,1800001,-1.6699999570846558
1603025904.525888,1810001,-1.7699999809265137
1603025986.737263,1820001,-1.649999976158142
1603026069.2312264,1830001,-1.5299999713897705
1603026151.216087,1840001,-1.2599999904632568
1603026233.0890691,1850001,-1.1299999952316284
1603026315.8296885,1860001,-0.9399999976158142
1603026397.9816806,1870001,-0.9100000262260437
1603026480.1466682,1880001,-0.5199999809265137
1603026562.5916228,1890001,-0.3499999940395355
1603026645.1928945,1900001,-0.3799999952316284
1603026727.5394287,1910001,0.05999999865889549
1603026809.798971,1920001,0.18000000715255737
1603026892.1623774,1930001,0.4099999964237213
1603026975.1262257,1940001,0.49000000953674316
1603027057.1364014,1950001,1.0099999904632568
1603027139.2071583,1960001,1.159999966621399
1603027221.5319233,1970001,1.4800000190734863
1603027304.0708401,1980001,1.7200000286102295
1603027386.2758746,1990001,1.840000033378601
1603027468.7015138,2000001,1.9800000190734863
1603027551.1506424,2010001,2.1700000762939453
1603027633.6530504,2020001,2.190000057220459
1603027715.6005504,2030001,2.509999990463257
1603027798.1967719,2040001,2.990000009536743
1603027881.0558581,2050001,3.359999895095825
1603027963.2357116,2060001,3.509999990463257
1603028045.5015588,2070001,3.7799999713897705
1603028127.679931,2080001,3.930000066757202
1603028210.3471339,2090001,4.079999923706055
1603028292.5704024,2100001,4.429999828338623
1603028374.7616322,2110001,4.949999809265137
1603028456.9109535,2120001,5.119999885559082
1603028539.6599789,2130001,5.340000152587891
1603028621.8002274,2140001,5.349999904632568
1603028704.6980805,2150001,5.510000228881836
1603028786.853964,2160001,5.53000020980835
1603028869.4711032,2170001,5.53000020980835
1603028951.483281,2180001,5.909999847412109
1603029033.4242005,2190001,6.179999828338623
1603029115.4875708,2200001,6.579999923706055
1603029196.6462975,2210001,6.96999979019165
1603029277.6779728,2220001,7.190000057220459
1603029359.1112006,2230001,7.320000171661377
1603029440.9896336,2240001,7.690000057220459
1603029521.9878347,2250001,7.920000076293945
1603029603.6494367,2260001,8.239999771118164
1603029684.9847014,2270001,8.399999618530273
1603029766.7068396,2280001,8.619999885559082
1603029848.1167302,2290001,8.859999656677246
1603029929.310333,2300001,8.960000038146973
1603030010.714815,2310001,8.880000114440918
1603030092.7751887,2320001,8.979999542236328
1603030174.3012516,2330001,9.109999656677246
1603030256.03901,2340001,9.609999656677246
1603030337.5214915,2350001,9.829999923706055
1603030419.568051,2360001,10.109999656677246
1603030501.0667174,2370001,10.199999809265137
1603030582.222263,2380001,10.3100004196167
1603030664.3551106,2390001,10.609999656677246
1603030746.1270072,2400001,10.800000190734863
1603030827.905377,2410001,10.819999694824219
1603030909.3126872,2420001,10.920000076293945
1603030991.3108664,2430001,11.220000267028809
1603031072.7649014,2440001,11.25
1603031154.432093,2450001,11.59000015258789
1603031236.0464704,2460001,12.069999694824219
1603031318.2088227,2470001,12.470000267028809
1603031400.1255205,2480001,12.479999542236328
1603031481.6942935,2490001,12.75
1603031563.3003206,2500001,12.920000076293945
1603031644.792835,2510001,12.890000343322754
1603031726.0067072,2520001,12.930000305175781
1603031807.3648922,2530001,13.130000114440918
1603031888.8451014,2540001,13.15999984741211
1603031970.6505392,2550001,13.029999732971191
1603032052.3447664,2560001,13.0600004196167
1603032133.1412086,2570001,13.130000114440918
1603032214.2609322,2580001,13.239999771118164
1603032294.9536684,2590001,13.380000114440918
1603032375.6382585,2600001,13.289999961853027
1603032456.255282,2610001,13.329999923706055
1603032536.9644277,2620001,13.239999771118164
1603032617.2135437,2630001,13.109999656677246
1603032697.4604046,2640001,13.220000267028809
1603032777.4625611,2650001,13.180000305175781
1603032857.3420205,2660001,13.100000381469727
1603032936.8951905,2670001,13.140000343322754
1603033016.405016,2680001,13.220000267028809
1603033095.687189,2690001,13.3100004196167
1603033175.7546787,2700001,13.210000038146973
1603033255.133448,2710001,13.40999984741211
1603033334.8923104,2720001,13.359999656677246
1603033414.2484033,2730001,13.579999923706055
1603033494.221882,2740001,13.649999618530273
1603033573.9432774,2750001,13.609999656677246
1603033653.3984566,2760001,13.619999885559082
1603033733.1272721,2770001,13.779999732971191
1603033812.8604257,2780001,13.770000457763672
1603033892.2791667,2790001,13.869999885559082
1603033972.495427,2800001,14.020000457763672
1603034052.7264988,2810001,14.229999542236328
1603034133.3511388,2820001,14.289999961853027
1603034213.3150647,2830001,14.520000457763672
1603034293.1881757,2840001,14.680000305175781
1603034372.7313738,2850001,14.779999732971191
1603034453.2108507,2860001,14.890000343322754
1603034533.4617841,2870001,15.020000457763672
1603034613.34399,2880001,15.0600004196167
1603034693.868796,2890001,15.079999923706055
1603034775.2867644,2900001,15.0
1603034856.1522522,2910001,14.770000457763672
1603034936.0937538,2920001,14.59000015258789
1603035016.759561,2930001,14.449999809265137
1603035097.9588237,2940001,14.4399995803833
1603035178.8860304,2950001,14.229999542236328
1603035259.298095,2960001,14.25
1603035340.417525,2970001,14.319999694824219
1603035421.150928,2980001,14.239999771118164
1603035501.7437088,2990001,14.270000457763672
1603035582.1431353,3000001,14.260000228881836
1603035663.120972,3010001,14.270000457763672
1603035743.9571962,3020001,14.220000267028809
1603035824.4545686,3030001,14.210000038146973
1603035904.5770261,3040001,14.180000305175781
1603035984.9800682,3050001,14.109999656677246
1603036064.7991323,3060001,14.100000381469727
1603036144.2479224,3070001,13.979999542236328
1603036223.433464,3080001,13.850000381469727
1603036303.1196246,3090001,13.75
1603036382.638351,3100001,13.770000457763672
1603036461.7838635,3110001,13.84000015258789
1603036540.936241,3120001,13.970000267028809
1603036620.594171,3130001,13.970000267028809
1603036699.8266718,3140001,14.260000228881836
1603036778.9976885,3150001,14.489999771118164
1603036858.479731,3160001,14.729999542236328
1603036938.0918486,3170001,14.779999732971191
1603037017.0313025,3180001,14.8100004196167
1603037095.9883614,3190001,14.970000267028809
1603037174.8123505,3200001,15.050000190734863
1603037253.9053514,3210001,14.9399995803833
1603037331.947412,3220001,15.0
1603037410.3502946,3230001,15.130000114440918
1603037489.011839,3240001,15.1899995803833
1603037567.6958458,3250001,15.260000228881836
1603037646.3507009,3260001,15.359999656677246
1603037725.2008588,3270001,15.380000114440918
1603037803.7857857,3280001,15.5600004196167
1603037882.859965,3290001,15.569999694824219
1603037961.082088,3300001,15.550000190734863
1603038040.226304,3310001,15.649999618530273
1603038121.2865748,3320001,15.789999961853027
1603038202.1651874,3330001,15.789999961853027
1603038281.5275395,3340001,15.770000457763672
1603038360.7313836,3350001,15.609999656677246
1603038440.6314964,3360001,15.510000228881836
1603038520.745544,3370001,15.350000381469727
1603038601.6248558,3380001,15.420000076293945
1603038682.45262,3390001,15.390000343322754
1603038764.1103866,3400001,15.5
1603038845.3700247,3410001,15.529999732971191
1603038926.9845226,3420001,15.510000228881836
1603039008.2917705,3430001,15.350000381469727
1603039090.128296,3440001,15.510000228881836
1603039171.582831,3450001,15.479999542236328
1603039253.3452237,3460001,15.59000015258789
1603039335.3009787,3470001,15.5600004196167
1603039417.5349233,3480001,15.520000457763672
1603039499.2038846,3490001,15.640000343322754
1603039580.8301764,3500001,15.539999961853027
1603039662.6198003,3510001,15.550000190734863
1603039744.7268345,3520001,15.579999923706055
1603039825.8750048,3530001,15.680000305175781
1603039906.9118297,3540001,15.600000381469727
1603039988.2089186,3550001,15.5600004196167
1603040069.8694475,3560001,15.569999694824219
1603040151.1623964,3570001,15.460000038146973
1603040232.1662686,3580001,15.6899995803833
1603040314.0521681,3590001,15.949999809265137
1603040394.765317,3600001,16.030000686645508
1603040475.127093,3610001,16.0
1603040555.2975204,3620001,16.0
1603040636.0739655,3630001,16.1299991607666
1603040715.9996986,3640001,16.31999969482422
1603040795.703201,3650001,16.3799991607666
1603040874.983276,3660001,16.389999389648438
1603040954.9504075,3670001,16.420000076293945
1603041034.2088108,3680001,16.31999969482422
1603041113.5528274,3690001,16.469999313354492
1603041192.858724,3700001,16.5
1603041273.178033,3710001,16.479999542236328
1603041352.7925014,3720001,16.559999465942383
1603041432.1025698,3730001,16.489999771118164
1603041511.8281376,3740001,16.540000915527344
1603041592.1769965,3750001,16.520000457763672
1603041671.5000648,3760001,16.6200008392334
1603041751.075876,3770001,16.729999542236328
1603041830.4641068,3780001,16.829999923706055
1603041910.120071,3790001,16.93000030517578
1603041989.451885,3800001,16.979999542236328
1603042068.5432718,3810001,16.950000762939453
1603042147.9058068,3820001,17.059999465942383
1603042227.728696,3830001,17.1200008392334
1603042307.0270076,3840001,17.1200008392334
1603042386.2850747,3850001,17.0
1603042465.6642118,3860001,16.860000610351562
1603042545.1243303,3870001,16.850000381469727
1603042624.1681583,3880001,16.799999237060547
1603042703.4387167,3890001,16.739999771118164
1603042782.93028,3900001,16.780000686645508
1603042862.545405,3910001,16.700000762939453
1603042941.6534224,3920001,16.760000228881836
1603043020.605398,3930001,16.790000915527344
1603043100.560999,3940001,16.709999084472656
1603043180.4009094,3950001,16.790000915527344
1603043259.8375158,3960001,16.760000228881836
1603043338.8293688,3970001,16.81999969482422
1603043418.40913,3980001,16.770000457763672
1603043496.8409421,3990001,16.790000915527344
1603043575.0451138,4000001,16.719999313354492
1603043653.3327954,4010001,16.65999984741211
1603043732.2537515,4020001,16.649999618530273
1603043810.6403003,4030001,16.59000015258789
1603043888.7514737,4040001,16.56999969482422
1603043967.2916036,4050001,16.510000228881836
1603044046.1485333,4060001,16.530000686645508
1603044124.7512424,4070001,16.600000381469727
1603044203.3556242,4080001,16.59000015258789
1603044282.247893,4090001,16.6299991607666
1603044361.415869,4100001,16.75
1603044439.756512,4110001,16.81999969482422
1603044518.2365599,4120001,16.84000015258789
1603044597.0394995,4130001,16.90999984741211
1603044675.8764987,4140001,16.90999984741211
1603044754.2250285,4150001,16.93000030517578
1603044832.1347256,4160001,17.010000228881836
1603044909.650459,4170001,17.079999923706055
1603044988.2893448,4180001,17.020000457763672
1603045066.6171079,4190001,17.0
1603045144.9003239,4200001,17.010000228881836
1603045223.3475792,4210001,17.110000610351562
1603045301.6508672,4220001,17.229999542236328
1603045379.8593078,4230001,17.190000534057617
1603045461.6069686,4240001,17.25
1603045539.7806723,4250001,17.34000015258789
1603045618.2568405,4260001,17.399999618530273
1603045696.2426038,4270001,17.3799991607666
1603045774.5263665,4280001,17.520000457763672
1603045852.7583165,4290001,17.59000015258789
1603045931.3197627,4300001,17.559999465942383
1603046008.9582274,4310001,17.549999237060547
1603046086.2415655,4320001,17.440000534057617
1603046164.3336208,4330001,17.420000076293945
1603046243.5071123,4340001,17.43000030517578
1603046321.7583783,4350001,17.559999465942383
1603046399.9238696,4360001,17.540000915527344
1603046478.4215903,4370001,17.600000381469727
1603046557.108845,4380001,17.670000076293945
1603046635.2766807,4390001,17.760000228881836
1603046713.2584205,4400001,17.700000762939453
1603046791.2495162,4410001,17.670000076293945
1603046869.73245,4420001,17.700000762939453
1603046947.3424797,4430001,17.690000534057617
1603047024.9022574,4440001,17.670000076293945
1603047102.2387793,4450001,17.520000457763672
1603047180.1886356,4460001,17.559999465942383
1603047257.9730988,4470001,17.610000610351562
1603047335.857356,4480001,17.559999465942383
1603047413.4764807,4490001,17.610000610351562
1603047491.1340678,4500001,17.59000015258789
1603047568.3295195,4510001,17.649999618530273
1603047645.560241,4520001,17.700000762939453
1603047723.5307088,4530001,17.780000686645508
1603047802.1068447,4540001,17.68000030517578
